mode,feature_set,feature_set_desc,condition,condition_desc,classifier,n_seeds,kappa_mean,kappa_std,kappa_ci_lo,kappa_ci_hi,acc_mean,acc_std,acc_ci_lo,acc_ci_hi,f1_asphyxia_mean,f1_asphyxia_std,f1_deaf_mean,f1_deaf_std,f1_hunger_mean,f1_hunger_std,f1_normal_mean,f1_normal_std,f1_pain_mean,f1_pain_std,sensitivity_mean,sensitivity_std,sensitivity_ci_lo,sensitivity_ci_hi,specificity_mean,specificity_std,specificity_ci_lo,specificity_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,f1_healthy_mean,f1_healthy_std,f1_pathology_mean,f1_pathology_std
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.8802,0.0044,0.8739,0.8861,0.9106,0.0033,0.906,0.915,0.9245,0.0052,0.9926,0.0019,0.7941,0.0172,0.9305,0.0036,0.6675,0.0209,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.8719,0.0044,0.8644,0.8753,0.9044,0.0033,0.8987,0.9069,0.9212,0.0024,0.9991,0.0011,0.7682,0.0138,0.9309,0.004,0.6231,0.0093,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9106,0.0024,0.908,0.9145,0.9333,0.0018,0.9313,0.9362,0.9489,0.0033,0.9977,0.0005,0.8474,0.0049,0.9521,0.0023,0.7067,0.0068,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9045,0.0027,0.902,0.9087,0.9287,0.002,0.9269,0.9319,0.9431,0.0031,0.9943,0.0005,0.8441,0.0062,0.9408,0.003,0.7181,0.0134,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.8452,0.004,0.841,0.8518,0.8834,0.003,0.8802,0.8884,0.9169,0.0047,0.9716,0.002,0.7652,0.0094,0.8806,0.0036,0.6775,0.0117,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9144,0.0034,0.9094,0.9188,0.9362,0.0025,0.9324,0.9394,0.937,0.0026,0.9914,0.0012,0.8638,0.006,0.9482,0.0023,0.7787,0.0169,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.6273,0.0048,0.6201,0.6337,0.7189,0.0036,0.7131,0.7232,0.7295,0.0053,0.9308,0.0059,0.5447,0.0109,0.5979,0.0025,0.4305,0.0145,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.6528,0.0024,0.6499,0.6567,0.7392,0.0019,0.7369,0.7422,0.7377,0.0008,0.9631,0.0002,0.5633,0.0073,0.5928,0.0013,0.4507,0.0055,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.6172,0.0018,0.6153,0.6202,0.7115,0.0013,0.71,0.7136,0.7353,0.0035,0.9197,0.0008,0.5794,0.0016,0.5341,0.0035,0.4566,0.0069,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.5829,0.0023,0.5803,0.5864,0.6832,0.0017,0.6813,0.6859,0.7303,0.0019,0.9095,0.0007,0.5359,0.0052,0.5267,0.0061,0.3563,0.0023,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.561,0.0082,0.5468,0.5677,0.6622,0.0066,0.6508,0.6675,0.7501,0.0082,0.8757,0.0035,0.4697,0.0192,0.5471,0.0027,0.3882,0.0182,,,,,,,,,,,,,,,,
multiclass,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.591,0.0063,0.5823,0.6003,0.6922,0.0048,0.6854,0.6991,0.7839,0.0076,0.8885,0.0022,0.5429,0.008,0.4859,0.0106,0.4399,0.008,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.8715,0.0074,0.8638,0.8832,0.9041,0.0055,0.8984,0.9129,0.9204,0.0065,0.9922,0.0006,0.7845,0.0109,0.9215,0.0088,0.6412,0.0184,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.863,0.0036,0.8585,0.8684,0.8977,0.0027,0.8944,0.9018,0.9134,0.005,0.9991,0.0008,0.7545,0.0089,0.9235,0.0035,0.6025,0.0196,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9049,0.0018,0.9025,0.9071,0.9291,0.0013,0.9273,0.9307,0.9455,0.0053,0.9934,0.001,0.8418,0.0017,0.9479,0.0026,0.7031,0.0077,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9,0.0046,0.8952,0.9076,0.9253,0.0034,0.9217,0.931,0.9398,0.003,0.9951,0.0003,0.8366,0.0075,0.9411,0.0036,0.6951,0.0199,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.8298,0.0099,0.8136,0.8408,0.8712,0.0076,0.8588,0.8795,0.9105,0.0062,0.9581,0.0027,0.764,0.0202,0.8677,0.0124,0.6642,0.0207,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.909,0.003,0.9045,0.9128,0.9321,0.0022,0.9288,0.935,0.9329,0.0037,0.9907,0.0011,0.858,0.0052,0.9417,0.0029,0.7691,0.0082,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.6251,0.007,0.6144,0.6334,0.7178,0.0054,0.7096,0.7242,0.7137,0.0073,0.9429,0.0047,0.5363,0.0065,0.5893,0.0224,0.4189,0.0077,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.6376,0.0007,0.6366,0.6386,0.728,0.0006,0.7272,0.7287,0.7128,0.0,0.9642,0.0,0.5521,0.0022,0.5657,0.0,0.4382,0.0012,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.6439,0.0017,0.6418,0.646,0.7334,0.0012,0.732,0.735,0.7349,0.0033,0.9348,0.0008,0.6051,0.0018,0.5624,0.0024,0.4652,0.011,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.588,0.0023,0.5854,0.5908,0.6873,0.0018,0.6853,0.6896,0.7236,0.0048,0.921,0.0009,0.5483,0.0033,0.5177,0.0059,0.3561,0.0091,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.5705,0.0077,0.5583,0.5785,0.6671,0.0062,0.6571,0.6732,0.7604,0.0079,0.8751,0.0052,0.4842,0.0064,0.576,0.011,0.3762,0.0155,,,,,,,,,,,,,,,,
multiclass,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.6068,0.0033,0.6025,0.6096,0.7044,0.0026,0.7011,0.7067,0.7833,0.0044,0.8925,0.0029,0.5661,0.0083,0.5213,0.0077,0.4453,0.0113,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.8783,0.0046,0.8709,0.8831,0.909,0.0035,0.9034,0.9126,0.9144,0.0057,0.9913,0.0026,0.8038,0.0124,0.92,0.0074,0.6929,0.012,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.8749,0.0032,0.87,0.8783,0.9065,0.0024,0.9028,0.9091,0.9266,0.0036,0.9947,0.0011,0.7705,0.0121,0.9279,0.0021,0.6663,0.0109,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9051,0.001,0.9033,0.9061,0.9291,0.0008,0.9278,0.9299,0.9389,0.0029,0.9954,0.001,0.8362,0.005,0.9466,0.0016,0.7324,0.0091,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9027,0.003,0.8982,0.9066,0.9272,0.0023,0.9239,0.9302,0.9412,0.004,0.9968,0.0012,0.8281,0.0026,0.9435,0.005,0.7267,0.0071,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.8854,0.0078,0.874,0.8945,0.9141,0.0059,0.9055,0.9209,0.9329,0.0076,0.9899,0.0021,0.8124,0.0151,0.9233,0.0038,0.7121,0.0224,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9067,0.0028,0.9043,0.9115,0.9303,0.0021,0.9286,0.9339,0.9447,0.0052,0.9902,0.0012,0.8382,0.0115,0.952,0.0027,0.7431,0.0123,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.5989,0.005,0.5927,0.6056,0.6961,0.0037,0.6916,0.7009,0.7259,0.0041,0.9045,0.0032,0.5595,0.0121,0.5348,0.0106,0.4452,0.0166,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.6195,0.0039,0.6156,0.6246,0.7129,0.003,0.7099,0.7168,0.6729,0.0052,0.9577,0.0014,0.545,0.0077,0.549,0.0084,0.4653,0.0095,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.6104,0.0037,0.6067,0.6161,0.7054,0.0028,0.7025,0.7096,0.7338,0.0071,0.911,0.0016,0.5755,0.0076,0.5301,0.0043,0.4835,0.0043,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.6047,0.0018,0.6021,0.6067,0.7018,0.0014,0.6999,0.7033,0.7188,0.0079,0.9162,0.0014,0.5487,0.0052,0.5423,0.003,0.4613,0.0118,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.5721,0.0031,0.5673,0.5753,0.6724,0.0025,0.6687,0.675,0.7335,0.0064,0.9002,0.0026,0.4951,0.0131,0.5354,0.0056,0.3943,0.0067,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.5974,0.0047,0.591,0.6032,0.6961,0.0036,0.6911,0.7007,0.7965,0.0041,0.8996,0.0015,0.5248,0.0072,0.5107,0.0106,0.4428,0.0068,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.9164,0.003,0.9127,0.9202,0.9376,0.0023,0.9349,0.9404,0.9547,0.0041,0.993,0.0028,0.8543,0.0047,0.9538,0.0033,0.7648,0.0209,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.9055,0.0042,0.9018,0.9124,0.9295,0.0031,0.9268,0.9347,0.9435,0.0045,0.9913,0.0015,0.8409,0.0059,0.9468,0.0052,0.7368,0.0113,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9166,0.0062,0.9093,0.9258,0.938,0.0045,0.9327,0.9448,0.9537,0.0045,0.9797,0.0068,0.8778,0.0076,0.9512,0.0036,0.7852,0.0216,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9076,0.0131,0.8856,0.919,0.931,0.0099,0.9145,0.9396,0.9377,0.0058,0.9841,0.0095,0.8836,0.0051,0.9231,0.0197,0.7837,0.0121,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.9111,0.0084,0.8971,0.9197,0.9333,0.0064,0.9227,0.9398,0.9494,0.0058,0.9862,0.0062,0.8628,0.0182,0.9436,0.0066,0.7819,0.0161,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9009,0.0053,0.8926,0.9069,0.9261,0.0039,0.9199,0.9306,0.9331,0.0046,0.99,0.001,0.8502,0.0078,0.9377,0.0035,0.7225,0.0157,,,,,,,,,,,,,,,,
